"YEAR","month","day","RIVER","RELO_METHO","ORIG_TAG_D","RADIO_NO","RELO_NO","RELO_DATE","REACH_orig","Reach500","Reach_1K","BS","RiverKM","STATE","POINT_X","POINT_Y","COMMENT","Nradionum","year","week","firstcap"
1992,5,26,"Rapid River","",1992-05-26,15,0,"5/26/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"capture entered by PJW",15,1,1,1
1992,5,26,"Rapid River","",1992-05-26,25,0,"5/26/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"pjw entered first capture, fish recoded",25,1,1,1
1992,5,26,"Rapid River","",1992-05-26,35,0,"5/26/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"pjw entered first capture ",35,1,1,1
1992,5,26,"Rapid River","",1992-05-26,54,0,"5/26/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"pjw entered frist capture",54,1,1,1
1992,5,27,"Rapid River","",1992-05-27,74,0,"5/27/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"pjw entered first capture",74,1,1,1
1992,5,28,"Rapid River","",1992-05-28,95,0,"5/28/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",95,1,1,1
1992,5,27,"Rapid River","",1992-05-27,115,0,"5/27/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",115,1,1,1
1992,5,27,"Rapid River","",1992-05-27,135,0,"5/27/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",135,1,1,1
1992,5,26,"Rapid River","",1992-05-26,154,0,"5/26/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",154,1,1,1
1992,5,26,"Rapid River","",1992-05-26,174,0,"5/26/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",174,1,1,1
1992,5,27,"Rapid River","",1992-05-27,195,0,"5/27/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",195,1,1,1
1992,5,27,"Rapid River","",1992-05-27,214,0,"5/27/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",214,1,1,1
1992,5,26,"Rapid River","",1992-05-26,234,0,"5/26/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",234,1,1,1
1992,5,26,"Rapid River","",1992-05-27,254,0,"5/26/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",254,1,1,1
1992,5,27,"Rapid River","",1992-05-27,275,0,"5/27/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",275,1,1,1
1992,5,28,"Rapid River","",1992-05-28,294,0,"5/28/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",294,1,1,1
1992,5,26,"Rapid River","",1992-05-26,315,0,"5/26/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",315,1,1,1
1992,5,26,"Rapid River","",1992-05-26,335,0,"5/26/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",335,1,1,1
1992,5,26,"Rapid River","",1992-05-26,355,0,"5/26/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",355,1,1,1
1992,5,27,"Rapid River","",1992-05-27,375,0,"5/27/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",375,1,1,1
1992,5,27,"Rapid River","",1992-05-27,394,0,"5/27/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",394,1,1,1
1992,5,26,"Rapid River","",1992-05-26,414,0,"5/26/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",414,1,1,1
1992,5,27,"Rapid River","",1992-05-27,434,0,"5/27/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",434,1,1,1
1992,5,29,"Rapid River","",1992-05-29,455,0,"5/29/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",455,1,1,1
1992,6,1,"Rapid River","",1992-06-01,474,0,"6/1/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",474,1,1,1
1992,6,1,"Rapid River","",1992-06-01,495,0,"6/1/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",495,1,1,1
1992,5,27,"Rapid River","",1992-05-27,515,0,"5/27/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",515,1,1,1
1992,6,1,"Rapid River","",1992-06-01,534,0,"6/1/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",534,1,1,1
1992,6,1,"Rapid River","",1992-06-01,554,0,"6/1/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",554,1,1,1
1992,5,27,"Rapid River","",1992-05-27,575,0,"5/27/1992","RR03","RR09","RR05",1,62.3,1,NA,NA,"",575,1,1,1
