"STREAM","newRea1K.x","Shan","Simp","MP.area","RN.area","HG.area","CS.area","LG.area","LS.area","PL.area","PW.area","SP.area","UP.area","DP.area","MeanDepth","DepthSD","LEN_UCUT_L","LEN_UCUT_R","LEFT_LEN","RITE_LEN","LEN_VGST_L","LEN_VGST_R","LWD_WADS","LWD_AGREGS","SegmentLen.x","TotArea","NR1K","newRea1K.y","SegmentLen.y","CumSum"
"GF",1,2.181472478,0.878592114,351.7407813,340.664878,1524.911796,1456.083405,938.7643678,0,0,0,1558.638202,191.821,15.75,0.222644012,0.104148129,12.2,8.5,1009.9,1009.9,103,102,0,11,1009.9,6378.374431,"GF01",42,1009.9,37666
"GF",2,2.058479531,0.852692813,274.6328906,545.5066667,2799.978134,1293.02173,244.2512644,0,0,0,1276.642697,137.417,0,0.17880622,0.092683211,7,15.5,1002.7,1002.7,104.5,110.2,1,9,1002.7,6571.450382,"GF02",44,1002.7,38935
"GF",3,2.11000834,0.868715886,237.8758594,538.8144715,1471.32581,1620.783892,526.3055747,0,0,0,2992.370787,85.831,0,0.204873221,0.08791078,3.5,8.5,1083.3,1083.3,62,77,1,9,1083.3,7473.307394,"GF03",45,1083.3,40018.3
"GF",4,1.951653157,0.831955923,54.09421875,128.035122,942.8194014,1361.851784,130.5943103,0,0,0,2780.874157,44.555,50.47058824,0.159151804,0.102622894,1,3,733.2,733.2,29,25.5,0,5,733.2,5493.294582,"GF04",46,733.2,40751.5
"RR",1,1.827719728,0.805555556,263,1343.51,7302.98,296.5,3808.25,0,0,0,231,0,0,0.288320219,0.095130763,209.5,135.5,1145,1121.2,1028,1060.7,0,0,1096.9,13245.24,"RR01",1,1096.9,1096.9
"RR",2,1.880695235,0.8192,553.19,665.34,6397.09,1232.23,920.3,0,0,0,0,0,575.75,0.454372872,0.139697601,136.2,68.8,1043.1,1037.9,978.4,1008.9,3,3,1008.7,10343.9,"RR02",2,1008.7,2105.6
"RR",3,1.062535408,0.595555556,0,3052.83,572.67,0,9836.8,0,0,0,0,0,0,0.297245101,0.099090379,40,7,1031.2,1031.2,947.4,950.1,1,5,1031.2,13462.3,"RR03",3,1031.2,3136.8
"RR",4,1.429724432,0.698347107,0,2113.59,792.52,622.2,9261.84,0,0,0,0,0,824.4,0.368054428,0.181586294,75.3,47.6,1177.8,1177.8,1150.2,1144.8,3,7,1177.8,13614.55,"RR04",4,1177.8,4314.6
"RR",5,1.957249981,0.839476813,535.68,2016.19,1514.41,1001.15,3164.55,0,0,0,321.92,0,739.82,0.450577757,0.317510903,55,72.6,1003.2,1003.2,855.9,859.1,1,5,1003.2,9293.72,"RR05",5,1003.2,5317.8
"RR",6,1.837013966,0.83234714,466.73,982.92,2989.17,2235.66,2427.14,0,0,0,0,0,0,0.43085858,0.186395795,156.3,106.7,1000.9,1000.9,930.3,934.1,1,4,1000.9,9101.62,"RR06",6,1000.9,6318.7
"RR",7,1.942829219,0.831111111,465.8,521.51,2470.44,4087.84,2942.4,0,0,0,392.69,0,0,0.378908523,0.153165395,79.9,80.2,1041,1038.1,1041,1030.1,3,7,1008.2,10880.68,"RR07",7,1008.2,7326.9
"RR",8,1.862818922,0.79947403,692.58,545.59,5878.36,666.71,3622.6,0,0,0,0,55.18,0,0.352924815,0.157540068,183.5,103,1048.2,1048.2,941.2,1011.4,4,16,1048.2,11461.02,"RR08",8,1048.2,8375.1
"RR",9,1.746038706,0.797061524,825.66,858.74,6883.32,1169.77,2853.54,0,0,0,0,117.66,0,0.349093596,0.142558464,96.5,105.2,1080,1080,953.1,968,5,10,1080,12708.69,"RR09",9,1080,9455.1
"RR",10,1.74402779,0.787037037,455.34,2269,6753.8,1733.38,31.2,0,0,0,404.54,0,0,0.347310342,0.146468344,29.4,103.9,1138.8,1138.8,1073.1,1067.3,2,10,1138.8,11647.26,"RR10",10,1138.8,10593.9
"RR",11,1.948397602,0.83654321,837.77,511.64,3980.12,2265.27,0,0,0,0,1890.02,25.42,0,0.446728498,0.18345834,9.7,39.4,1030.4,1030.4,990.5,975.9,0,20,1030.4,9510.24,"RR11",11,1030.4,11624.3
"RR",12,1.760857739,0.792243767,407.06,560.49,6314.66,0,506.74,0,0,0,1173.6,0,0,0.328551579,0.114946484,11.5,48,1007.4,1007.4,904.7,912.2,1,20,1007.4,8962.55,"RR12",12,1007.4,12631.7
"RR",13,1.824247352,0.801512287,153.4,307.05,3129.96,48,1036.27,0,0,0,4073.64,0,0,0.330667278,0.115018438,2,2,1029.8,1029.8,953.4,953.9,0,14,1029.8,8748.32,"RR13",13,1029.8,13661.5
"RR",14,1.747069298,0.76816609,613.67,167.09,4655.71,0,139.26,0,0,0,1467.36,0,0,0.350779643,0.18448242,34.5,0.9,1003.7,1003.7,764.7,790.9,3,14,1003.7,7043.09,"RR14",14,1003.7,14665.2
"RR",15,1.732867951,0.784722222,221.94,0,5482.91,529.73,660.96,0,0,0,2295.28,0,0,0.278351948,0.10202313,1.5,10.7,1012.4,1014.6,999.9,1014.6,1,12,1004.2,9190.82,"RR15",15,1004.2,15669.4
"RR",16,1.653426854,0.748046875,105.28,496.23,6863.33,908.92,581.61,0,0,0,0,0,0,0.297655261,0.113390613,44.2,109.5,1135.2,1135.2,1091.6,1102.5,0,13,1135.2,8955.37,"RR16",16,1135.2,16804.6
"RR",17,1.595118371,0.729166667,50.22,280.72,5313.97,104.72,471.04,0,0,0,1906.75,0,0,0.292065442,0.097195883,2.8,15.1,1018.6,1018.6,836.8,859.1,0,12,1018.6,8127.42,"RR17",17,1018.6,17823.2
"RR",18,1.889159164,0.806584362,0,302.35,5065.85,1379.25,748.56,56.16,55.04,0,0,145.44,89.08,0.419041577,0.123675932,65.8,48.7,1011.9,1011.9,843.6,895.9,2,17,1011.9,7841.73,"RR18",18,1011.9,18835.1
"RR",19,1.835502433,0.811791383,103.68,546.4,2572.31,3319.65,3078.64,0,0,0,459.03,0,0,0.405229069,0.094262868,189.5,109.3,1023.3,1023.3,942.5,1007.9,2,11,1023.3,10079.71,"RR19",19,1023.3,19858.4
"RR",20,1.860534377,0.785,144,166.14,4184.24,4477.06,618.93,0,103.68,1291.26,806.72,0,0,0.368359398,0.064961603,191.7,324.8,1046.5,1068.8,1046.5,1068.8,2,7,1030.2,11792.03,"RR20",20,1030.2,20888.6
"RR",21,1.694396284,0.765432099,437.75,46.44,739.44,6992.08,206.4,0,0,0,1766.76,0,0,0.333057826,0.077061232,274.6,247,1019.6,1019.6,1011,997.6,4,15,1019.6,10188.87,"RR21",21,1019.6,21908.2
"RR",22,1.949968462,0.820861678,225.92,561.07,163.8,5871.01,0,0,0,886.93,2211.95,0,95.23,0.384383912,0.06715684,203.4,382,1004.7,1004.7,995.6,998.5,1,8,1004.7,10015.91,"RR22",22,1004.7,22912.9
"RR",23,1.728977001,0.793950851,507.9,242.25,2138.76,5668.58,320.38,0,0,0,329.28,25.53,0,0.361897293,0.081852216,171.7,118.2,1056.8,1056.8,994.6,1030.6,1,11,1056.8,9232.68,"RR23",23,1056.8,23969.7
"RR",24,1.799046891,0.786982249,312.05,0,691.11,4261.45,744.65,27.52,0,403.92,1287.47,0,0,0.333269613,0.102902872,80.9,61.1,1004.2,1004.2,936.8,883.9,1,10,1004.2,7728.17,"RR24",24,1004.2,24973.9
"RR",25,1.935600505,0.840277778,324.88,215.97,2222.13,2497.64,163.71,0,0,1412.93,1069.45,0,0,0.353667929,0.039451797,190.1,213,1019.5,1015.9,1019.5,1015.9,3,7,1004.1,7906.71,"RR25",25,1004.1,25978
"RR",26,1.759429482,0.798611111,38.27,416.86,2443.91,2172.01,576.01,0,0,0,1565.34,0,0,0.309995186,0.06692112,193.5,146,1047,1056.8,1047,1056.8,0,13,1037.3,7212.4,"RR26",26,1037.3,27015.3
"RR",27,1.798487804,0.793950851,168.81,55.04,4492.97,3162.27,49.84,33.21,0,0,549.64,0,433.92,0.226124428,0.07977212,59,98.4,1028.7,1041.5,980.2,1041.5,0,2,1028.7,8945.7,"RR27",27,1028.7,28044
"RR",28,1.859587258,0.819444444,55.9,352.12,3061.59,2269.75,420.11,0,153.27,0,1896.31,0,122.88,0.283589528,0.069756057,0,18.5,1073,1073,1053.2,1023.1,0,2,1073,8331.93,"RR28",28,1073,29117
"RR",29,1.929729288,0.83446712,330.89,112,2537.68,1125.35,0,162.76,0,1400.44,2164.41,0,121.92,0.32961972,0.053608593,63.2,55.3,1052.4,1040.4,1052.4,1027,1,5,1040.4,7955.45,"RR29",29,1040.4,30157.4
"RR",30,1.47013192,0.744897959,209.55,0,3955.7,3365.28,0,0,0,0,473.8,0,0,0.313072375,0.085425264,20.6,74,1034.1,1042.5,1034.1,1042.5,1,7,1029.1,8004.33,"RR30",30,1029.1,31186.5
"RR",31,2.027877014,0.84765625,266.95,64.13,2352.85,916.83,332.24,0,0,545.75,648.43,0,105,0.226396771,0.072307681,231.8,160.2,1044.6,1015,1044.6,1013.5,2,23,1015,5232.18,"RR31",31,1015,32201.5
"RR",32,2.114492947,0.861275477,276.14,164.25,1665.94,1342.88,1346.16,0,0,0,1503.89,29.351,0,0.274203255,0.073956354,111.6,78.3,1053.8,1047.1,1053.8,1021.7,7,86,1047.1,6328.611,"RR32",33,1047.1,33248.6
"RR",33,1.968688133,0.828719723,182.4,176.75,2175.49,1127.34,1141.51,34.88,0,369.66,333.55,206.829,0,0.207445246,0.055388801,82.2,75.2,1058.5,1058.5,1038.8,1026.1,3,8,1058.5,5748.409,"RR33",35,1058.5,34307.1
"RR",34,1.831740878,0.809073724,49.98,231.01,3483.43,1167.54,105.74,37.35,0,0,595.61,0,0,0.201452904,0.049141161,154.3,130.3,1025.6,1023.8,1025.6,1023.8,4,16,1010.2,5670.66,"RR34",37,1010.2,35317.3
"RR",35,2.111127468,0.865077876,456.0011719,211.72,1881.95,1166.78,978.23,0,0,0,464.8416854,0,106.05,0.197908524,0.069535277,222.1,243.9,1005.8,1005.8,966.4,867,2,16,1005.8,5265.572857,"RR35",39,1005.8,36323.1
"RR",36,2.070002105,0.856731302,417.27,671.48,584.23,736.28,1330.34,0,0,0,67.2,51.61,45.5,0.182604698,0.083900241,187.1,290.2,1004.2,1004.2,865.3,868.7,6,29,1004.2,3903.91,"RR36",41,1004.2,37327.3
"RR",37,1.735962041,0.783950617,213.56,291.52,0,40.3,1074.73,0,0,0,0,172.44,0,0.161705348,0.06792329,236.7,235.3,605,605,575.8,564.2,13,21,605,1792.55,"RR37",43,605,37932.3
"LF",1,1.676987774,0.790123457,50,60,5150,4550,0,99,0,0,1620,0,0,0.314832162,0.030631652,388,437,1662.5,1697,1662.5,1697,0,23,1555,11529,"LF01",32,1555,32666
"LF",2,2.022808529,0.861111111,65.14,79.2,2064,624,106,35.34,113.25,0,3027.5,0,0,0.311054833,0.030775734,335,305,1232.4,1253.3,1232.4,1253.3,0,28,1166.7,6114.43,"LF02",34,1166.7,33666
"LF",3,2.04831458,0.854442344,507.7232813,71.33203252,1966.246514,1797.368162,519.5843678,0,0,0,1824.541573,55.62,54.29411765,0.257993179,0.077788248,8,0,1046.1,1046.1,20.4,18.9,0,6,1046.1,6796.710049,"LF03",36,1046.1,34666
"LF",4,1.929626189,0.817750183,300.08625,598.7263415,4144.332606,0,861.4968391,0,0,0,454.411236,100.517,96.69411765,0.224372994,0.081427703,0,0,1010.7,1010.7,0,0,3,11,1010.7,6556.26439,"LF04",38,1010.7,35666
"LF",5,1.320888343,0.71875,0,0,545.3257746,243.3634054,72.21264368,0,0,0,0,0,0,0.18971159,0.042418275,0,0,125.9,125.9,0,0,0,4,125.9,860.9018237,"LF05",40,125.9,36666
