"YEAR","month","day","RIVER","RELO_METHO","ORIG_TAG_D","RADIO_NO","RELO_NO","RELO_DATE","REACH_orig","Reach500","Reach_1K","BS","RiverKM","STATE","POINT_X","POINT_Y","COMMENT","Nradionum","year","week","firstcap","age"
1993,7,21,"Rapid River","",1993-07-21,25,0,"7/21/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"pjw entered first capture",26,2,8,8,0
1993,6,16,"Rapid River","",1993-06-16,35,0,"6/16/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",36,2,4,4,0
1993,6,16,"Rapid River","",1993-06-16,145,0,"6/16/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",146,2,4,4,1
1993,6,16,"Rapid River","",1993-06-16,165,0,"6/16/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",166,2,4,4,1
1993,6,16,"Rapid River","",1993-06-16,225,0,"6/16/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",226,2,4,4,1
1993,6,28,"Rapid River","",1993-06-28,324,0,"6/28/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",325,2,5,5,1
1993,7,6,"Rapid River","",1993-07-06,395,0,"7/6/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",396,2,6,6,1
1993,7,7,"Rapid River","",1993-07-07,404,0,"7/7/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",405,2,7,7,1
1993,7,7,"Rapid River","",1993-07-07,422,0,"7/7/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",423,2,7,7,1
1993,7,8,"Rapid River","",1993-07-08,463,0,"7/8/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",464,2,7,7,1
1993,6,28,"Rapid River","",1993-06-28,505,0,"6/28/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",506,2,5,5,1
1993,6,29,"Rapid River","",1993-06-29,525,0,"6/29/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",526,2,5,5,1
1993,6,29,"Rapid River","",1993-06-29,545,0,"6/29/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",546,2,5,5,1
1993,6,28,"Rapid River","",1993-06-28,554,0,"6/28/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",555,2,5,5,1
1993,6,29,"Rapid River","",1993-06-29,565,0,"6/29/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",566,2,5,5,1
1993,6,29,"Rapid River","",1993-06-29,585,0,"6/29/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",586,2,5,5,1
1993,7,7,"Rapid River","",1993-07-07,625,0,"7/7/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",626,2,7,7,1
1993,7,7,"Rapid River","",1993-07-07,645,0,"7/7/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",646,2,7,7,1
1993,7,7,"Rapid River","",1993-07-08,665,0,"7/7/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",666,2,7,7,1
1993,7,8,"Rapid River","",1993-07-08,685,0,"7/8/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",686,2,7,7,1
1993,6,18,"Rapid River","",1993-06-18,2274,0,"6/18/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",2275,2,4,4,1
1993,6,16,"Rapid River","",1993-06-16,9135,0,"6/16/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",9136,2,4,4,0
1993,6,18,"Rapid River","",1993-06-18,9294,0,"6/18/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",9295,2,4,4,0
1993,6,28,"Rapid River","",1993-06-28,9315,0,"6/28/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",9316,2,5,5,0
1993,6,16,"Rapid River","",1993-06-16,9355,0,"6/16/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",9356,2,4,4,0
1993,6,18,"Rapid River","",1993-06-18,9375,0,"6/18/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",9376,2,4,4,0
1993,6,18,"Rapid River","",1993-06-18,9915,0,"6/18/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",9916,2,4,4,0
1993,6,18,"Rapid River","",1993-06-18,9995,0,"6/18/1993","RR03","RR09","RR05",1,62.3,1,NA,NA,"",9996,2,4,4,1
