"ORIG_TAG_D","RADIO_NO","RELO_NO","RELO_DATE","RIVER","YEAR","REACH_orig","Reach500","Reach_1K","BS","STATE","RELO_METHO","RiverKM","HAB_TYPE","POCKETS","MEAN_PKT_D","HAB_LENGTH","HAB_WIDTH","HAB_AREA","MEAN_DEPTH","MAX_DEPTH","T_CREST_DE","NUM_STP","MEAN_STP_D","L_UCUT_LF","W_UCUT_LF","L_UCUT_RT","W_UCUT_RT","L_UCUT_HD","W_UCUT_HD","UNDRCT_ARE","L_VGST_LF","W_VGST_LF","L_VGST_RT","W_VGST_RT","OV_VEG_ARE","LWD_SINGLE","LWD_SING_1","LWD_SING_2","LWD_SING_3","LWD_Aggreg","LWD_Aggr_1","LWD_Aggr_2","LWD_Aggr_3","LWD_Aggr_4","LWD_RootWa","LWD_Root_1","LWD_Root_2","H2O_TEMP","AIR_TEMP","SURV_TIME","FISH_VISUA","POINT_X","POINT_Y","COMMENT","date","year","month","day","Nradionum","week","firstcap"
1993-07-21,25,0,"7/21/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"pjw entered first capture",1993-07-21,2,7,21,26,8,8
1993-06-16,35,0,"6/16/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-16,2,6,16,36,4,4
1993-06-16,145,0,"6/16/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-16,2,6,16,146,4,4
1993-06-16,165,0,"6/16/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-16,2,6,16,166,4,4
1993-06-16,225,0,"6/16/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-16,2,6,16,226,4,4
1993-06-28,324,0,"6/28/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-28,2,6,28,325,5,5
1993-07-06,395,0,"7/6/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-07-06,2,7,6,396,6,6
1993-07-07,404,0,"7/7/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-07-07,2,7,7,405,7,7
1993-07-07,422,0,"7/7/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-07-07,2,7,7,423,7,7
1993-07-08,463,0,"7/8/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-07-08,2,7,8,464,7,7
1993-06-28,505,0,"6/28/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-28,2,6,28,506,5,5
1993-06-29,525,0,"6/29/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-29,2,6,29,526,5,5
1993-06-29,545,0,"6/29/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-29,2,6,29,546,5,5
1993-06-28,554,0,"6/28/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-28,2,6,28,555,5,5
1993-06-29,565,0,"6/29/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-29,2,6,29,566,5,5
1993-06-29,585,0,"6/29/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-29,2,6,29,586,5,5
1993-07-07,625,0,"7/7/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-07-07,2,7,7,626,7,7
1993-07-07,645,0,"7/7/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-07-07,2,7,7,646,7,7
1993-07-08,665,0,"7/7/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-07-07,2,7,7,666,7,7
1993-07-08,685,0,"7/8/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-07-08,2,7,8,686,7,7
1993-06-18,2274,0,"6/18/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-18,2,6,18,2275,4,4
1993-06-16,9135,0,"6/16/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-16,2,6,16,9136,4,4
1993-06-18,9294,0,"6/18/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-18,2,6,18,9295,4,4
1993-06-28,9315,0,"6/28/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-28,2,6,28,9316,5,5
1993-06-16,9355,0,"6/16/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-16,2,6,16,9356,4,4
1993-06-18,9375,0,"6/18/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-18,2,6,18,9376,4,4
1993-06-18,9915,0,"6/18/1993","Rapid River",1993,"RR03","RR09","RR05",1,1,"",62.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",1993-06-18,2,6,18,9916,4,4
