"Nradionum","week","newRea1K","RELO_METHO"
26,8,5,1
26,10,7,2
26,10,10,1
26,11,19,2
26,12,22,2
26,13,24,1
26,13,24,2
26,14,24,1
26,14,22,2
26,15,22,2
26,16,22,1
36,4,5,1
36,4,6,1
36,5,6,1
36,5,7,1
36,6,7,1
36,7,7,1
36,8,7,2
36,8,7,1
36,10,11,2
36,10,11,1
36,11,18,2
36,12,19,2
36,13,20,1
36,13,24,2
36,14,26,1
36,14,25,2
36,15,25,1
36,15,26,2
36,16,27,1
36,17,24,2
36,18,25,1
146,4,5,1
146,4,5,1
146,4,5,1
146,4,5,1
146,5,5,1
146,6,5,1
146,7,10,1
146,8,13,2
146,8,15,1
146,10,23,2
146,10,24,1
146,11,29,2
146,12,29,2
166,4,5,1
166,4,6,1
166,4,6,1
166,4,6,1
166,5,7,1
166,5,7,1
166,6,7,1
166,7,7,1
166,8,8,2
166,8,8,1
166,10,19,2
166,10,20,1
166,11,25,2
166,12,25,2
166,12,26,1
166,13,32,2
226,4,5,1
226,4,5,1
226,4,5,1
226,4,5,1
226,5,6,1
226,5,7,1
226,6,7,1
226,7,10,1
226,8,16,2
226,8,15,1
226,10,28,2
226,10,29,1
226,11,35,2
226,12,37,2
226,12,37,1
226,13,37,2
226,13,39,1
226,14,37,2
226,14,37,1
226,15,39,2
226,16,39,1
325,5,5,1
325,5,6,1
325,6,6,1
325,7,6,1
325,8,10,2
325,8,10,1
325,10,19,2
325,10,21,1
325,11,26,2
325,12,32,2
325,12,36,1
325,12,36,1
325,13,38,2
325,13,38,1
325,14,38,2
325,15,36,1
325,15,36,2
325,15,36,1
396,6,5,1
396,7,6,1
396,8,7,2
396,8,8,1
396,10,10,2
396,10,10,1
396,11,15,2
396,12,21,2
396,13,23,1
396,13,27,2
396,14,28,1
396,14,28,2
396,15,30,1
396,15,32,2
396,16,38,1
405,7,5,1
405,7,5,1
405,8,5,2
405,8,5,1
405,10,6,2
405,10,10,1
405,11,23,2
405,12,27,2
405,12,28,1
405,13,31,2
405,13,31,1
