YEAR,month,day,RIVER,REACH1000,RELO_METHO,ORIG_TAG_D,RADIO_NO,FL,FW,RELO_NO,RELO_DATE,origREACH,BS,RiverKM,RCH_LENGTH,twoweek,firstcap
1992,8,19,Salmon River,SR51,Ground,NA,25,569,2075,0,8/19/1992,SR,2,51.1,NA,1,1
1992,8,19,Salmon River,SR52,Ground,NA,35,452,950,0,8/19/1992,SR,2,NA,NA,1,1
1992,8,19,Rapid River,RR30,Ground,5/27/1992,115,462,925,0,8/19/1992,RR12,2,85.9,NA,1,1
1992,8,19,Lake Fork,RR30,Ground,NA,174,432,850,0,8/19/1992,LF01,2,NA,NA,1,1
1993,8,19,Rapid River,RR33,Air,NA,225,455,925,0,8/19/1993,RR15,2,NA,NA,1,1
1992,8,19,Lake Fork,LF04,Air,NA,254,460,950,0,8/19/1992,LF02,2,NA,NA,1,1
1993,8,19,Salmon River,SR56,Air,6/28/1993,305,462.9047619,1078.761905,0,8/19/1993,SR,2,55.2,1000,1,1
1993,8,19,Rapid River,RR05,Air,NA,324,400,630,0,8/19/1993,RR04,2,NA,NA,1,1
1992,8,19,Granite Fork,GF01,Ground,NA,335,410,740,0,8/19/1992,GF01,2,NA,NA,1,1
1992,8,19,Salmon River,SR35,Air,NA,394,360,475,0,8/19/1992,SR,2,NA,NA,1,1
1993,8,19,Rapid River,RR05,Air,NA,395,387,580,0,8/19/1993,RR04,2,NA,NA,1,1
1993,8,19,Rapid River,RR20,Ground,NA,422,397,535,0,8/19/1993,RR10,2,NA,NA,1,1
1992,8,19,Rapid River,RR26,Ground,NA,455,630,2924,0,8/19/1992,RR11,2,NA,NA,1,1
1993,8,19,Rapid River,RR22,Air,NA,463,463,1085,0,8/19/1993,RR10,2,NA,NA,1,1
1993,8,19,Rapid River,RR05,Air,NA,505,463,1085,0,8/19/1993,RR03,2,NA,NA,1,1
1992,8,19,Lake Fork,LF04,Ground,NA,575,542,1575,0,8/19/1992,LF02,2,NA,NA,1,1
1993,8,19,Salmon River,SR50,Air,7/7/1993,605,462.9047619,1078.761905,0,8/19/1993,SR,2,49.2,1000,1,1
1993,8,19,Rapid River,RR30,Ground,NA,625,465,975,0,8/19/1993,RR12,2,NA,NA,1,1
1992,8,19,Rapid River,RR05,Ground,NA,1495,495,1125,0,8/19/1992,RR04,2,NA,NA,1,1
1993,8,19,Rapid River,RR29,Ground,NA,9294,476,1125,0,8/19/1993,RR11,2,NA,NA,1,1
1993,8,19,Rapid River,RR05,Air,NA,9375,430,875,0,8/19/1993,RR04,2,NA,NA,1,1
1993,8,19,Salmon River,SR02,Ground,NA,9935,520,1375,0,8/19/1993,SR,2,NA,NA,1,1
1993,8,19,Rapid River,RR31,Air,NA,9995,453,875,0,8/19/1993,RR13,2,NA,NA,1,1
